"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","profile.x","span.x","statespace.states","Unnamed..0","Unnamed..0.1","type","status","status.spec","regroup.strategy","regroup.time","bandwidth","profile.y","span.y","average.wavefront","RMS.wavefront","state.vector.length","groups","group.checks","next.state.calls","reachability.time","statespace.nodes","group.next","group.explored.nodes","group.explored.vectors","time","memory","peak.nodes","LDDop.union","LDDop.minus","LDDop.relProd","LDDop.satCount","LDDop.satCountL","LDDop.zip","LDDop.relProdUnion","LDDop.projectMinus","Unnamed..36","timeBest","memBest","timeMark","memMark"
"2-10_phaseVariation","pnml","bfs-prev","sat-loop",5,1.28,0.0651494009523069,10,71936,76887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,1,
"2D8_gradient_10x10_10","pnml","bfs-prev","sat-loop",5,13.874,1.16699233549801,10,382122,400254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.874,,1,
"2D8_gradient_20x20_10","pnml","bfs-prev","sat-loop",5,259.75,20.329385955639,10,3628591,3813154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.75,,1,
"2D8_gradient_5x5_10","pnml","bfs-prev","sat-loop",5,1.436,0.0697933457509461,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.436,,1,
"2D8_gradient_5x5_50","pnml","bfs-prev","sat-loop",5,141.684,7.0224326269463,10,36326,39098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.684,,1,
"5-10_phaseVariation","pnml","bfs-prev","sat-loop",5,128.813,12.324013640946,10,6672932,6955371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.813,,1,
"AirplaneLD-pt-0010","pnml","bfs-prev","sat-loop",5,0.181,0.0299814757623585,10,36808,40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181,,1,
"AirplaneLD-pt-0020","pnml","bfs-prev","sat-loop",5,0.489,0.060635523141692,10,142832,151347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489,,1,
"AirplaneLD-pt-0050","pnml","bfs-prev","sat-loop",5,1.739,0.0474809903481851,10,875026,907075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.739,,1,
"AirplaneLD-pt-0100","pnml","bfs-prev","sat-loop",5,5.529,0.278505934506889,10,3061025,3183488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.529,,1,
"AirplaneLD-pt-0200","pnml","bfs-prev","sat-loop",5,20.028,1.1679212302206,10,12199887,12621738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.028,,1,
"angiogenesis-01","pnml","bfs-prev","sat-loop",5,0.105,0.0108012344973464,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105,,1,
"angiogenesis-05","pnml","bfs-prev","sat-loop",5,4.64,0.200610180311081,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64,,1,
"angiogenesis-10","pnml","bfs-prev","sat-loop",5,104.924,5.91422240591835,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.924,,1,
"angiogenesis-15","pnml","bfs-prev","sat-loop",5,1431.668,73.6320794823078,10,13805,15443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431.668,,1,
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml","bfs-prev","sat-loop",5,0.521,0.0548634668973808,10,35432,39034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.521,,1,
"BridgeAndVehicles-V10-P10-N10-unfolded","pnml","bfs-prev","sat-loop",5,27.143,1.2749819170831,10,1351610,1392323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.143,,1,
"circadian_clock-000001","pnml","bfs-prev","sat-loop",5,0.013,0.00483045891539648,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,,1,
"circadian_clock-000010","pnml","bfs-prev","sat-loop",5,0.204,0.0469515116310907,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204,,1,
"circadian_clock-000100","pnml","bfs-prev","sat-loop",5,24.736,1.87827462197506,10,1009,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.736,,1,
"CircularTrain-012","pnml","bfs-prev","sat-loop",5,0.033,0.0115950180872841,10,1562,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,,1,
"CircularTrain-024","pnml","bfs-prev","sat-loop",5,0.296,0.0620394139953698,10,3308,3685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296,,1,
"closed_system1","pnml","bfs-prev","sat-loop",5,3.732,0.354551359702183,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.732,,1,
"closed_system2","pnml","bfs-prev","sat-loop",5,9.996,0.582527061841575,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.996,,1,
"closed_system3","pnml","bfs-prev","sat-loop",5,14.3,0.819606951871173,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,1,
"closed_system4","pnml","bfs-prev","sat-loop",5,15.248,0.865188482997267,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.248,,1,
"closed_system5","pnml","bfs-prev","sat-loop",5,11.481,0.794808851933036,10,73916,81489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.481,,1,
"cs_repetitions-2-unfolded","pnml","bfs-prev","sat-loop",5,0.236,0.0537897140105182,10,3536,4492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236,,1,
"cs_repetitions-3-unfolded","pnml","bfs-prev","sat-loop",5,10.678,0.843929960232351,10,36009,41484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.678,,1,
"database2UNFOLD","pnml","bfs-prev","sat-loop",5,0.047,0.00823272602348564,10,2266,2914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,,1,
"dekker-10","pnml","bfs-prev","sat-loop",5,1.381,0.0591514064827615,10,176152,194690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.381,,1,
"dekker-15","pnml","bfs-prev","sat-loop",5,42.927,1.38910882703024,10,858894,918960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.927,,1,
"desel_esparza_10_3a","pnml","bfs-prev","sat-loop",5,0.008,0.00632455532033676,10,558,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,1,
"desel_esparza_10_3b","pnml","bfs-prev","sat-loop",5,0.007,0.00483045891539648,10,592,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,1,
"desel_esparza_8_1","pnml","bfs-prev","sat-loop",5,0.001,0.00316227766016838,10,428,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,1,
"desel_esparza_8_3","pnml","bfs-prev","sat-loop",5,0.018,0.00788810637746615,10,989,1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,,1,
"desel_esparza_9_5","pnml","bfs-prev","sat-loop",5,0.016,0.00516397779494322,10,539,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,,1,
"dnawalk-01","pnml","bfs-prev","sat-loop",5,0.171,0.0303498123735734,10,21419,23336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171,,1,
